sistema,zona_carga,clave,nombre,municipio
BCA,ENSENADA,07ACU-115,Acueducto La Mision,ENSENADA
BCA,ENSENADA,07AUE-115,Aguas Ensenada,ENSENADA
BCA,ENSENADA,07CIP-115,Cipres,ENSENADA
BCA,ENSENADA,07CME-115,Cemex,ENSENADA
BCA,ENSENADA,07COE-115,Colonet,ENSENADA
BCA,ENSENADA,07EDA-115,Ensenada,ENSENADA
BCA,ENSENADA,07ENT-115,Entronque San Felipe,ENSENADA
BCA,ENSENADA,07EPC-115,Cementera Punta China,ENSENADA
BCA,ENSENADA,07FMO-115,Fabrica Monterrey,ENSENADA
BCA,ENSENADA,07GLL-115,Gallo,ENSENADA
BCA,ENSENADA,07JAT-115,Jatay,ENSENADA
BCA,ENSENADA,07JOV-230,La Jovita,ENSENADA
BCA,ENSENADA,07LOS-115,Lomas,ENSENADA
BCA,ENSENADA,07MND-115,Maneadero,ENSENADA
BCA,ENSENADA,07ONG-69,Ojos Negros,ENSENADA
BCA,ENSENADA,07SAF-115,San Felipe,MEXICALI
BCA,ENSENADA,07SAZ-115,Sauzal,ENSENADA
BCA,ENSENADA,07SMA-115,Maniobras San Matias,ENSENADA
BCA,ENSENADA,07SMN-115,San Simon,ENSENADA
BCA,ENSENADA,07SQN-115,San Quintin,ENSENADA
BCA,ENSENADA,07SVE-115,San Vicente,ENSENADA
BCA,ENSENADA,07TRI-115,Valle de Trinidad,ENSENADA
BCA,ENSENADA,07VLP-69,Valle de Guadalupe,ENSENADA
BCA,MEXICALI,07APD-230,Aeropuerto Dos,MEXICALI
BCA,MEXICALI,07CFP-400,Puerto Peñasco 400kV,PUERTO PEÑASCO
BCA,MEXICALI,07CNT-230,Centenario,MEXICALI
BCA,MEXICALI,07CNZ-161,Carranza,MEXICALI
BCA,MEXICALI,07CPC-161,Cerro Prieto Cuatro,MEXICALI
BCA,MEXICALI,07CPD-230,Cerro Prieto Dos,MEXICALI
BCA,MEXICALI,07CPT-230,Cerro Prieto Tres,MEXICALI
BCA,MEXICALI,07CPU-161,Cerro Prieto Uno,MEXICALI
BCA,MEXICALI,07CRO-161,Centro,MEXICALI
BCA,MEXICALI,07CSC-230,Compañia Siderurgica California,MEXICALI
BCA,MEXICALI,07CTY-161,Cetys,MEXICALI
BCA,MEXICALI,07CTY-230,Cetys,MEXICALI
BCA,MEXICALI,07FEV-161,FEVISA,MEXICALI
BCA,MEXICALI,07GOR-161,Gonzalez Ortega,MEXICALI
BCA,MEXICALI,07GWY-161,Maniobras Gateway,MEXICALI
BCA,MEXICALI,07KCH-161,Cachanilla,MEXICALI
BCA,MEXICALI,07LMA-161,Libramiento Maniobras,MEXICALI
BCA,MEXICALI,07LMA-230,Libramiento Maniobras,MEXICALI
BCA,MEXICALI,07MCI-161,Combustion Interna Mexicali Oriente,MEXICALI
BCA,MEXICALI,07MCI-230,Combustion Interna Mexicali Oriente,MEXICALI
BCA,MEXICALI,07MOE-161,Mexican Oriente,MEXICALI
BCA,MEXICALI,07MXI-161,Mexicali Dos,MEXICALI
BCA,MEXICALI,07MXI-230,Mexicali Dos,MEXICALI
BCA,MEXICALI,07NZI-161,Nacozari,MEXICALI
BCA,MEXICALI,07OZA-230,Orizaba,MEXICALI
BCA,MEXICALI,07PKD-161,Packard,MEXICALI
BCA,MEXICALI,07RIN-161,Rio Nuevo,MEXICALI
BCA,MEXICALI,07ROA-230,Rosita,MEXICALI
BCA,MEXICALI,07RUM-69,Rumorosa,TECATE
BCA,MEXICALI,07SIS-161,Santa Isabel,MEXICALI
BCA,MEXICALI,07SKW-161,Skyworks,MEXICALI
BCA,MEXICALI,07STB-230,Sanchez Taboada,MEXICALI
BCA,MEXICALI,07TEK-230,Tecnologico,MEXICALI
BCA,MEXICALI,07TUG-161,Turbogas Gonzalez Ortega,MEXICALI
BCA,MEXICALI,07VPA-230,Valle de Puebla,MEXICALI
BCA,MEXICALI,07WIS-230,Wisteria,MEXICALI
BCA,MEXICALI,07XCO-230,Xochimilco,MEXICALI
